Recrutement et Intelligence Artificielle;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Détails de la soumission;;;;;;;;;Est-ce que vous utilisez ou avez-l'intention d'utiliser les IA génératives comme ChatGPT pour ...;;;;;Que pensez-vous de la facilité d'usage des IA ?;;;;Quelle crédibilité accordez-vous au recruteur quand il vous explique utiliser l'IA pour le recrutement...;;;;Dans quelle mesure acceptez-vous que votre recruteur utilise l'IA lors de ces différentes phases du recrutement;;;;;;Lors d'un éventuel recrutement où l'IA serait utilisée, quelle importance accordez-vous à ces sujets liés à son usage éthique ?;;;;;;;
Séquentiel;SID;Heure de soumission;Heure de complétion;Heure de modification;Brouillon;Adresse IP;UID;Nom d'utilisateur;Rédiger des CV ou des lettres de motivation;Améliorer votre profil LinkedIn;Préparer des entretiens d'embauche;Vous renseigner sur votre futur employeur;Répondre plus rapidement à une offre;ChatGPT et autres IA génératives (génération de texte ou d'images);Moteur de recherche (Chrome, Safari, Firefox);Application de navigation disponibles sur votre mobile ou dans votre voiture;Autres usages professionnels ou scientifiques;Pour sélectionner les meilleur•e•s candidat•e•s;Pour réduire le risque de discrimination;Pour un recrutement plus éthique;Pour diversifier les recrutements;Lors du tri initial des candidatures;Lors des tests de sélection;Lors des entretiens individuels;Lors de la discussion sur le périmètre de votre poste;Lors de la négociation sur votre rémunération et autres avantages;Lors de la rédaction de votre contrat de travail;Le respect de votre vie privée;L'empreinte carbone de l'IA utilisée;L'absence de toute discrimination;L'équité entre tous les candidats;Le respect de la diversité;Aimeriez-vous savoir si votre recruteur a prévu d'utiliser l'IA dans le processus de recrutement ?;Quelle est votre tranche d'âge?;Donnez votre avis sur une entreprise qui souhaiterait confier ses recrutements à une IA : 
13;25291856;12/01/2025 - 09:35;12/01/2025 - 09:35;12/01/2025 - 09:35;0;0.0.0.0;0;Anonymous;Totalement opposé;Ni favorable, ni opposé;Totalement opposé;Totalement opposé;Totalement opposé;à l'aise;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Très faible;Très faible;Très faible;Très faible;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;C'est très important;C'est très important;C'est très important;C'est très important;C'est très important;C'est essentiel;35-44 ans;"Je comprends que l’IA puisse être vue comme un outil favorisant un gain de temps… si l’on sait l’utiliser correctement, si l’on comprend les sources de son alimentation et donc ses biais, et est-ce vraiment le meilleur usage que l’on puisse en faire? La percevoir comme un gain d’efficacité est très questionnable, car encore une fois, une IA possède des biais. Il est crucial de les comprendre pour prendre des décisions. Il est aussi crucial de prendre le temps d’analyser les réponses données par l’IA pour évaluer leur pertinence, leur éthique, entre autres. Donc, in fine, le gain de temps n’est pas forcément si important que ce que l’on croit.

De plus, une entreprise qui veut gagner du temps lors d’un recrutement, pour moi, est un signal que l’entreprise n’a pas de temps à accorder à l’humain. Donc, signal négatif. Si elle croit gagner en efficacité, elle se doit d’être transparente sur le processus d’analyse des données fournies par l’IA. Sinon, signal négatif.

Tout le monde veut utiliser l’IA car cela donne l’impression d’innover, d’être dans l’ère du temps, d’améliorer l’obtention de financements mais… l’attention portée à l’humain doit rester primordiale. Être dans l’ère du temps, fonctionner selon la peur de se faire dépasser sinon, ne sont pas toujours les meilleures options. Car l’ère du temps doit être analysée selon différents aspects pour définir si nous allons dans la bonne direction.

Vers quel futur allons-nous? Dans quel présent vivons-nous? Des CV et lettres de motivation arrangées ou entièrement créés par l’IA, triés par l’IA, sélectionnés par l’IA… nous allons donc vers la perte de réflexion, de prise de recul, d’argumentation, d’échanges humains - entre autres - et donc, la perte de notre seule liberté: penser, créer. Alors, comment évaluer véritablement les qualités, compétences d’un candidat biberonné à l’IA et celles de l’environnement de travail qui est constitué d’une équipe recrutée selon l’analyse d’une IA?

Le recrutement même sur CV et lettre de motivation me semble d’ailleurs obsolète. Créer des cas d’études similaires aux problématiques auxquelles le candidat fera face dans son poste, des mises en situation correspondant aux situations que le candidat rencontrera dans son poste, me semble plus approprié pour vraiment comprendre qui est le candidat, comment il structure sa pensée et ses interactions. Il existe d’ailleurs des startups qui proposent de construire ces cas d’études et mises en situation.

Ce n’est donc pas être rétrograde de ne pas adopter toutes les technologies à toutes les sauces, c’est prendre le temps de comprendre les impacts de l’adoption sur le long-terme. Et votre questionnaire ouvre cette voie, merci pour cela. 

En somme, l’IA pour la recherche médicale, par exemple: oui, car le gain de temps et la puissance d’analyse qu’elle offre permettent de créer plus efficacement des traitements qui amélioreront la vie des patients. Mais l’IA pour faire un simple exercice de rédaction, de tri, de sélection: cela ressemble à de la nivellisation vers le bas, pas à une révolution. Il y a d’autres solutions, comme énoncé précédemment, intellectuellement et humainement vertueuses. Bien entendu, il faudrait des indicateurs qui permettent d’étudier ce point de vue: taux de satisfaction du recruteur post-recrutement avec IA ou avec cas d’étude / mises en situation, entre autres.

Encore merci pour cet espace de réflexion que vous avez créé, c’est exactement ce dont nous avons besoin à l’heure actuelle, et la raison pour laquelle je prends plus de 3 minutes pour répondre. Tout le meilleur pour votre travail de recherche."
14;25291919;12/01/2025 - 09:47;12/01/2025 - 09:47;12/01/2025 - 09:47;0;0.0.0.0;0;Anonymous;Plutôt opposé;Plutôt opposé;Plutôt opposé;Plutôt opposé;Plutôt opposé;En difficulté;à l'aise;à l'aise;Plutôt à l'aise;Faible;Faible;Faible;Faible;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;C'est très important;C'est très important;C'est très important;C'est très important;C'est très important;C'est sans intérêt;55-64 ans;
15;25291997;12/01/2025 - 09:59;12/01/2025 - 09:59;12/01/2025 - 09:59;0;0.0.0.0;0;Anonymous;Assez favorable;Assez favorable;Assez favorable;Ni favorable, ni opposé;Assez favorable;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Faible;Ni faible, ni élevé;Elevé;Ni faible, ni élevé;Ni réticent, ni favorable;Ni réticent, ni favorable;Réticent;Réticent;Réticent;Ni réticent, ni favorable;C'est très important;C'est plutôt important;C'est très important;C'est très important;C'est très important;C'est important;55-64 ans;
16;25292088;12/01/2025 - 10:11;12/01/2025 - 10:11;12/01/2025 - 10:11;0;0.0.0.0;0;Anonymous;Assez favorable;Totalement opposé;Assez favorable;Assez favorable;Ni favorable, ni opposé;Plutôt à l'aise;Plutôt à l'aise;Plutôt à l'aise;Plutôt à l'aise;Elevé;Elevé;Elevé;Elevé;Ni réticent, ni favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;C'est plutôt important;C'est très secondaire;C'est important ou secondaire;C'est plutôt important;C'est plutôt important;C'est important;55-64 ans;
17;25292217;12/01/2025 - 10:29;12/01/2025 - 10:29;12/01/2025 - 10:29;0;0.0.0.0;0;Anonymous;Totalement opposé;Totalement opposé;Totalement opposé;Ni favorable, ni opposé;Totalement opposé;Quelques difficultés;Plutôt à l'aise;Plutôt à l'aise;Ni aisance, ni difficultés;Très faible;Très faible;Très faible;Très faible;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;Très réticent;C'est très important;C'est très secondaire;C'est très secondaire;C'est très secondaire;C'est très secondaire;C'est essentiel;55-64 ans;
18;25292425;12/01/2025 - 10:50;12/01/2025 - 10:50;12/01/2025 - 10:50;0;0.0.0.0;0;Anonymous;Totalement opposé;Ni favorable, ni opposé;Ni favorable, ni opposé;Assez favorable;Ni favorable, ni opposé;Ni aisance, ni difficultés;à l'aise;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Faible;Très faible;Très faible;Très faible;Ni réticent, ni favorable;Réticent;Très réticent;Très réticent;Très réticent;Très réticent;C'est très important;C'est très secondaire;C'est très important;C'est très important;C'est très secondaire;C'est important;55-64 ans;Cela dénoterait au mieux, un aveuglement dangereux, au pire, un manque de réflexion, voire de paresse intellectuelle de la part des cadres dirigeants. Ce serait un très mauvais signal et ne m'inclinerait pas à postuler. D'une manière générale et jusqu'à d'éventuelles ruptures technologiques et philosophiques, les IA doivent rester cantonnées à leur rôle d'outil, pour ce qui concerne l'organisation et le fonctionnement des sociétés. 
19;25292517;12/01/2025 - 11:01;12/01/2025 - 11:01;12/01/2025 - 11:01;0;0.0.0.0;0;Anonymous;Ni favorable, ni opposé;Assez favorable;Tout à fait favorable;Tout à fait favorable;Assez favorable;Plutôt à l'aise;à l'aise;Ni aisance, ni difficultés;à l'aise;Faible;Faible;Faible;Faible;Très réticent;Réticent;Très réticent;Très réticent;Très réticent;Favorable;C'est très important;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est important;18-24 ans;"Je suis etudiant en alternance en ecole d'ingenieur et utilisateur regulier de diverses IA generatives pour abattre du travail chronophage. Et suis aussi temoin regulier de ses limites (en l'ocurence GPT 4 payante) celle ci prends regulierement des libertés dans les consignes donnees, pour obtenir le resultat escompté il faut imperativement la tavailler au coprs et verifier minutieusement sont travail.
Dans le cadre d'un recrument les erreurs de ce type sont innacteptables. 
En effet, sur un tri de candidat, sur la base de l'offre, des CV et LM, si l'info demandee a chat GPT dans l'offre ne trouve pas toutes les reponses, la candidature peu etre ecartee de maniere irreflechie."
20;25292530;12/01/2025 - 11:03;12/01/2025 - 11:03;12/01/2025 - 11:03;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Ni favorable, ni opposé;Assez favorable;Assez favorable;Ni favorable, ni opposé;En difficulté;Ni aisance, ni difficultés;En difficulté;Quelques difficultés;Faible;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Favorable;Favorable;Réticent;Réticent;Réticent;Réticent;C'est très important;C'est plutôt secondaire;C'est très important;C'est très important;C'est très important;C'est essentiel;55-64 ans;Prévenir les futurs candidats afin qu’ils soient  au courant 
21;25292531;12/01/2025 - 11:03;12/01/2025 - 11:03;12/01/2025 - 11:03;0;0.0.0.0;0;Anonymous;Plutôt opposé;Assez favorable;Ni favorable, ni opposé;Assez favorable;Ni favorable, ni opposé;Quelques difficultés;Ni aisance, ni difficultés;Plutôt à l'aise;Ni aisance, ni difficultés;Faible;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Ni réticent, ni favorable;Favorable;Très réticent;Réticent;Réticent;Réticent;C'est plutôt important;C'est très secondaire;C'est important ou secondaire;C'est plutôt important;C'est plutôt secondaire;C'est secondaire;55-64 ans;Il me semble que L'IA doit être utilisée comme une aide à la décision car à mon sens rien ne remplace le rapport humain et la part irrationnelle lorsqu'on choisi un candidat. 
22;25292725;12/01/2025 - 11:22;12/01/2025 - 11:22;12/01/2025 - 11:22;0;0.0.0.0;0;Anonymous;Ni favorable, ni opposé;Plutôt opposé;Plutôt opposé;Totalement opposé;Ni favorable, ni opposé;Ni aisance, ni difficultés;à l'aise;à l'aise;Plutôt à l'aise;Très faible;Elevé;Ni faible, ni élevé;Ni faible, ni élevé;Ni réticent, ni favorable;Réticent;Très réticent;Très réticent;Très réticent;Très réticent;C'est plutôt important;C'est plutôt important;C'est très important;C'est très important;C'est très important;C'est important;35-44 ans;
23;25293016;12/01/2025 - 11:57;12/01/2025 - 11:57;12/01/2025 - 11:57;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Assez favorable;Assez favorable;Ni favorable, ni opposé;Tout à fait favorable;à l'aise;Ni aisance, ni difficultés;Ni aisance, ni difficultés;Plutôt à l'aise;Elevé;Ni faible, ni élevé;Ni faible, ni élevé;Ni faible, ni élevé;Favorable;Favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;Ni réticent, ni favorable;Favorable;C'est très important;C'est important ou secondaire;C'est important ou secondaire;C'est très important;C'est important ou secondaire;Cela dépend;25-34 ans;
24;25293045;12/01/2025 - 11:59;12/01/2025 - 11:59;12/01/2025 - 11:59;0;0.0.0.0;0;Anonymous;Plutôt opposé;Assez favorable;Ni favorable, ni opposé;Ni favorable, ni opposé;Ni favorable, ni opposé;Quelques difficultés;à l'aise;à l'aise;Quelques difficultés;Faible;Elevé;Ni faible, ni élevé;Ni faible, ni élevé;Favorable;Ni réticent, ni favorable;Réticent;Très réticent;Très réticent;Favorable;C'est très important;C'est très important;C'est important ou secondaire;C'est important ou secondaire;C'est très secondaire;C'est essentiel;55-64 ans;L’IA reste un filtre, la relation incarnée demeure absolument essentielle car ce qui permet le travail dans une démarche collective tient à la qualité des liens qui se tissent entre les collaborateurs , l’effectuation  (usité par les sociologues) du travail nécessitant sans cesse de savoir trouver les compromis pour pouvoir le réaliser.
25;25293065;12/01/2025 - 12:02;12/01/2025 - 12:02;12/01/2025 - 12:02;0;0.0.0.0;0;Anonymous;Tout à fait favorable;Tout à fait favorable;Assez favorable;Assez favorable;Tout à fait favorable;Quelques difficultés;Ni aisance, ni difficultés;Plutôt à l'aise;Plutôt à l'aise;Elevé;Faible;Faible;Ni faible, ni élevé;Favorable;Favorable;Réticent;Réticent;Réticent;Favorable;C'est important ou secondaire;C'est plutôt secondaire;C'est plutôt important;C'est plutôt important;C'est plutôt secondaire;C'est important;25-34 ans;
26;25293074;12/01/2025 - 12:03;12/01/2025 - 12:03;12/01/2025 - 12:03;0;0.0.0.0;0;Anonymous;Plutôt opposé;Plutôt opposé;Plutôt opposé;Assez favorable;Plutôt opposé;Plutôt à l'aise;Plutôt à l'aise;Plutôt à l'aise;Plutôt à l'aise;Faible;Elevé;Ni faible, ni élevé;Ni faible, ni élevé;Ni réticent, ni favorable;Favorable;Réticent;Très réticent;Très réticent;Très réticent;C'est très important;C'est important ou secondaire;C'est plutôt important;C'est plutôt important;C'est plutôt important;C'est essentiel;55-64 ans;
